영화 대표코드,영화명(국문),영화명(영문),영화명(원문),관람등급,장르
20184888,메리 포핀스 리턴즈,Mary Poppins Returns,,전체관람가,판타지
20174169,기묘한 가족,THE ODD FAMILY : ZOMBIE ON SALE,,12세이상관람가,코미디
20180868,뺑반,Hit-and-Run Squad,,15세이상관람가,범죄
20162003,명탐정 코난:전율의 악보,Detective Conan: Full Score of Fear,,12세이상관람가,애니메이션
20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,Hello Carbot The Movie: The Secret of Omphalos Island,,전체관람가,애니메이션
20185444,레고 무비2,The Lego Movie 2: The Second Part,,전체관람가,애니메이션
20184105,말모이,MAL·MO·E: The Secret Mission,,12세이상관람가,드라마
20185124,러브 유어셀프 인 서울,LOVE YOURSELF IN SEOUL,,전체관람가,공연
20184896,가버나움,Capharnaum,Capernaum,15세이상관람가,드라마
20176251,내안의 그놈,The Dude in Me,,15세이상관람가,판타지
20189463,주먹왕 랄프 2: 인터넷 속으로,Ralph Breaks the Internet,,전체관람가,애니메이션
20182544,글래스,Glass,,15세이상관람가,드라마
20186324,언더독,Underdog,,전체관람가,애니메이션
20185485,보헤미안 랩소디,Bohemian Rhapsody,,12세이상관람가,드라마
20189385,몬스터 파크,Here Comes the Grump,,전체관람가,애니메이션
20180290,아쿠아맨,AQUAMAN,,12세이상관람가,액션
20183915,극장판 공룡메카드: 타이니소어의 섬,,,전체관람가,애니메이션
20182588,미래의 미라이,MIRAI,未来のミライ(,전체관람가,애니메이션
20186281,범블비,Bumblebee,,12세이상관람가,액션
20170658,PMC: 더 벙커,Take Point,,15세이상관람가,액션
20175547,스윙키즈,Swing Kids,,12세이상관람가,드라마
20183785,점박이 한반도의 공룡2 : 새로운 낙원,,,전체관람가,애니메이션
20184187,언니,No Mercy,,청소년관람불가,액션
20182421,그린치,The Grinch,,전체관람가,애니메이션
20168773,마약왕,The Drug King,,청소년관람불가,범죄
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,,전체관람가,애니메이션
20183238,스파이더맨: 뉴 유니버스,Spider-Man: Into the Spider-Verse,,12세이상관람가,애니메이션
20177552,국가부도의 날,Default,,12세이상관람가,드라마
20179230,도어락,Door Lock,,15세이상관람가,스릴러
20183375,극장판 포켓몬스터 모두의 이야기,Pokemon the Movie: The Power of Us,劇場版ポケットモンスター みんなの物語,전체관람가,애니메이션
20189843,호두까기 인형과 4개의 왕국,The Nutcracker and the Four Realms,,전체관람가,판타지
20182082,부탁 하나만 들어줘,A Simple Favor,,청소년관람불가,스릴러
20178825,모털 엔진,Mortal Engines,,12세이상관람가,액션
20183745,런닝맨 : 풀룰루의 역습,Running Man,,전체관람가,애니메이션
20177538,완벽한 타인,Intimate Strangers,,15세이상관람가,드라마
20184481,성난황소,Unstoppable,,15세이상관람가,범죄
20181905,후드,Robin Hood,,12세이상관람가,어드벤처
20176814,신비한 동물들과 그린델왈드의 범죄,Fantastic Beasts: The Crimes of Grindelwald,FANTASTIC BEASTS THE CRIMES OF GRINDELWALD,12세이상관람가,판타지
20183073,베일리 어게인,A Dog's Purpose,,전체관람가,어드벤처
20181171,바울,"Paul, Apostle Of Christ",,15세이상관람가,드라마
20183007,거미줄에 걸린 소녀,THE GIRL IN THE SPIDER’S WEB,,15세이상관람가,액션
20182966,투 프렌즈,TWO TAILS,,전체관람가,애니메이션
20183050,번 더 스테이지: 더 무비,Burn the Stage: the Movie,,전체관람가,기타
20182935,출국,Unfinished,,15세이상관람가,드라마
20182669,툴리,TULLY,,15세이상관람가,드라마
20186822,너의 췌장을 먹고 싶어,I want to eat your pancreas,君の膵臓をたべたい,12세이상관람가,애니메이션
20170513,동네사람들,Ordinary People,,15세이상관람가,액션
20189869,해피 투게더,Happy Together,,12세이상관람가,드라마
20174981,창궐,Rampant,,15세이상관람가,사극
20010291,해리포터와 마법사의 돌,Harry Potter And The Socrerers Stone,,전체관람가,가족
20179006,여곡성,The Wrath,,15세이상관람가,공포(호러)
20181404,벽 속에 숨은 마법시계,The house with a clock in its walls,,전체관람가,판타지
20180523,스타 이즈 본,A Star Is Born,,15세이상관람가,드라마
20182693,구스범스: 몬스터의 역습,Goosebumps 2: Haunted Halloween,,12세이상관람가,판타지
20180987,할로윈,Halloween,,청소년관람불가,공포(호러)
20179189,암수살인,Dark Figure of Crime,暗數殺人,15세이상관람가,범죄
20189067,미쓰백,Miss Baek,,15세이상관람가,드라마
20182403,크레이지 리치 아시안,Crazy Rich Asians,,12세이상관람가,멜로/로맨스
20186321,퍼스트맨,First Man,,12세이상관람가,SF
20177221,베놈,Venom,,15세이상관람가,액션
20189123,곰돌이 푸 다시 만나 행복해,Christopher Robin,,전체관람가,어드벤처
20176122,안시성,The Great Battle,安市城,12세이상관람가,사극
20184678,배반의 장미,Too Hot to Die,,15세이상관람가,코미디
20187521,펭귄 하이웨이,Penguin Highway,ペンギン・ハイウェイ,전체관람가,애니메이션
20180628,액슬,A-X-L,,12세이상관람가,액션
20180770,다이노 어드벤처2: 육해공 공룡 대백과,Planet Dinosaur,,전체관람가,애니메이션
20189462,셜록 놈즈,Sherlock Gnomes,,전체관람가,애니메이션
20177308,협상,THE NEGOTIATION,,15세이상관람가,범죄
20188661,에브리데이,EVERY DAY,,12세이상관람가,멜로/로맨스
20172204,명당,FENGSHUI,,12세이상관람가,사극
20167903,원더풀 고스트,THE SOUL-MATE,,12세이상관람가,코미디
20189262,더 넌,The Nun,,15세이상관람가,공포(호러)
20185046,서치,Searching,,12세이상관람가,드라마
20188304,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,Yo-Kai Watch 4,映画　妖怪ウォッチ　シャドウサイド　鬼王の復活,전체관람가,애니메이션
20189268,루이스,Luis and the Aliens,,전체관람가,애니메이션
20180167,에그엔젤 코코밍: 두근두근 핼러윈 파티,,,전체관람가,애니메이션
20189746,극장판 뽀잉: 슈퍼 변신의 비밀,"Boing, The Secret of Super Transformation",,전체관람가,애니메이션
20156554,물괴,Monstrum,,15세이상관람가,액션
20153446,너의 결혼식,On Your Wedding Day,,12세이상관람가,멜로/로맨스
20188581,더 프레데터,The Predator,,청소년관람불가,SF
20189362,업그레이드,UPGRADE,,15세이상관람가,액션
20177537,상류사회,High Society,,청소년관람불가,드라마
20181942,맘마미아!2,MAMMA MIA! HERE WE GO AGAIN,,12세이상관람가,뮤지컬
20186202,신과함께-인과 연,Along with the Gods: The Last 49 Days,,12세이상관람가,판타지
20179101,공작,The Spy Gone North,,12세이상관람가,드라마
20170670,목격자,The Witness,,15세이상관람가,스릴러
20189261,어드리프트:우리가 함께한 바다,ADRIFT,,12세이상관람가,멜로/로맨스
20187647,나를 차버린 스파이,The Spy Who Dumped Me,,15세이상관람가,액션
20181181,미션 임파서블: 폴아웃,Mission:Impossible- Fallout,,15세이상관람가,액션
20139221,그래비티,Gravity,,12세이상관람가,SF
20184802,몬스터 호텔 3,Hotel Transylvania 3: A Monster Vacation,,전체관람가,애니메이션
20183584,메가로돈,The Meg,,12세이상관람가,액션
20187657,마일22,Mile22,Mile22,15세이상관람가,액션
20187641,극장판 도라에몽: 진구의 보물섬,Doraemon the Movie: Nobita's Treasure Island,,전체관람가,애니메이션
20187427,명탐정 코난 : 제로의 집행인,Detective Conan: Zero the Enforcer,名探偵コナン ゼロの執行人,12세이상관람가,애니메이션
20186501,극장판 헬로카봇 : 백악기 시대,Hello Carbot the Movie: The Cretaceous Period,,전체관람가,애니메이션
20183361,인크레더블 2,INCREDIBLES 2,,전체관람가,애니메이션
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,The Haunted House: The Secret of the Cave,,전체관람가,애니메이션
20186121,어느 가족,SHOPLIFTERS,万引き家族,15세이상관람가,드라마
20170942,인랑,ILLANG : THE WOLF BRIGADE,人狼,15세이상관람가,SF
20180522,앤트맨과 와스프,Ant-Man and the Wasp,,12세이상관람가,액션
20185341,마녀,The Witch : Part 1. The Subversion,,15세이상관람가,미스터리
